district,sl_no,name,capacity_mva,latitude,longitude,latitude_raw,longitude_raw,coord_flags
SOUTH 24 PARGANAS,1,Baruipur,12.6,22.3748333,88.4245,N22°22.490',E88°25.470',
SOUTH 24 PARGANAS,2,Beliachandi,22.6,22.26796,88.45222,N22.26796°,E88.45222°,
SOUTH 24 PARGANAS,3,Jamtala / Kultali,16.3,22.108516,88.572247,N22.108516,E88.572247,
SOUTH 24 PARGANAS,4,Joynagar,37.6,22.2477833,88.67345,N22°14.867',E88°40.407',
SOUTH 24 PARGANAS,5,Madarhat,22.05,22.3626667,88.4492833,N22°21.760',E88°26.957',
SOUTH 24 PARGANAS,6,Mahinagar,18.9,22.39493,88.41953,N22.39493°,E88.41953°,
SOUTH 24 PARGANAS,7,Mograhat,18.9,22.2471833,88.3581167,N22°14.831',E88°21.487',
SOUTH 24 PARGANAS,8,Raydighi,18.9,21.9985694,88.3902028,"21°59'54.85""N","88°23'24.73""E",
SOUTH 24 PARGANAS,9,Uttar Laxminarayanpur,12.6,22.066915,88.366884,N22.066915°,E88.366884°,
SOUTH 24 PARGANAS,10,Sonakhali,18.9,22.2060667,88.7142833,N22°12.364',E88°42.857',
SOUTH 24 PARGANAS,11,Gosaba,6.3,22.169246,88.801474,N22.169246,E88.801474,
SOUTH 24 PARGANAS,12,Uttarbhag 33/11,29.9,22.3442833,88.5132833,N22°20.657',E88°30.797',
SOUTH 24 PARGANAS,13,Dighirpar,18.9,22.3008167,88.66805,N22°18.049',E88°40.083',
SOUTH 24 PARGANAS,14,Miyergheri / Jibantala,18.9,22.4178333,88.66855,N22°25.070',E88°40.113',
SOUTH 24 PARGANAS,15,Gangajoara,18.9,22.4711333,88.43925,N22°28.268',E88°26.355',
SOUTH 24 PARGANAS,16,Garia,40.0,22.4592,88.3827333,N22°27.552',E88°22.964',
SOUTH 24 PARGANAS,17,Kalikapur,18.9,22.4233333,88.5018,N22°25.4',E88°30.108',
SOUTH 24 PARGANAS,18,Nepalgunj,18.9,22.41175,88.3713833,N22°24.705',E88°22.283',
SOUTH 24 PARGANAS,19,Renia,22.6,22.4558333,88.3520667,N22°27.350',E88°21.124',
SOUTH 24 PARGANAS,20,Narendrapur,20.0,22.4340833,88.4009833,N22°26.045',E88°24.059',
SOUTH 24 PARGANAS,21,Sonarpur,26.3,22.4441167,88.4217,N22°26.647',E88°25.302',
SOUTH 24 PARGANAS,22,Tollygunje,20.0,22.4801833,88.3474333,N22°28.811',E88°20.846',
SOUTH 24 PARGANAS,23,Amtala,27.9,22.3593,88.29285,N22°21.558',E88°17.571',
SOUTH 24 PARGANAS,24,Birlapur,18.9,22.4301,88.1553167,N22°25.806',E88°09.319',
SOUTH 24 PARGANAS,25,Deulberia,12.6,22.3781833,88.2124333,N22°22.691',E88°12.746',
SOUTH 24 PARGANAS,26,Serakol,16.3,22.2990333,88.27215,N22°17.942',E88°16.329',
SOUTH 24 PARGANAS,27,Genex Valley,9.45,22.4491333,88.3015,N22°26.948',E88°18.090',
SOUTH 24 PARGANAS,28,Khariberia,11.3,22.4052752,88.2993369,N22.4052752,E88.2993369,
SOUTH 24 PARGANAS,29,Poita,6.3,22.516756,88.500233,N22.516756°,E88.500233°,
SOUTH 24 PARGANAS,30,Deula,15.75,22.2137333,88.2803167,N22°12.824',E88°16.819',
SOUTH 24 PARGANAS,31,Chandpala,12.6,22.297533,88.170252,N22.297533,E88.170252,
SOUTH 24 PARGANAS,32,Diamond Harbour,12.6,22.1883167,88.1884,N22°11.299',E88°11.304',
SOUTH 24 PARGANAS,33,FSE Z - II,12.6,22.27955,88.1039333,N22°16.773',E88°06.236',
SOUTH 24 PARGANAS,34,FIGC - III,12.6,22.2549,88.0934,N22°15.294',E88°05.604',
SOUTH 24 PARGANAS,35,FIGC - IV,9.45,22.2439333,88.0927667,N22°14.636',E88°05.566',
SOUTH 24 PARGANAS,36,Purba Durgapur,26.3,22.2745833,88.2201,N22°16.475',E88°13.206',
SOUTH 24 PARGANAS,37,Kulpi,15.75,22.1456,88.4232,N22°08.736',E88°25.392',
SOUTH 24 PARGANAS,38,KULPI (SIMULBERIA),12.6,22.1456,88.4232,N22°08.736',E88°25.392',
SOUTH 24 PARGANAS,39,Rudranagar DPS,12.6,21.7264861,88.1046306,"21°43'35.35""N","88° 6'16.67""E",
SOUTH 24 PARGANAS,40,Kakdwip,25.2,21.8997833,88.1915333,N21°53.987',E88°11.492',
SOUTH 24 PARGANAS,41,Namkhana,14.45,21.7694,88.2355,N21°46.164',E88°14.130',
SOUTH 24 PARGANAS,42,Achintyanagar,6.3,21.8167193,88.4379653,N21.8167193,E88.43796529,
SOUTH 24 PARGANAS,43,Dakshin Shibganj,6.3,21.7832642,88.3676393,N21.7832642,E88.36763930,
SOUTH 24 PARGANAS,44,KLC-II,17.6,22.501044,88.514229,22.501044,88.514229,
SOUTH 24 PARGANAS,45,KLC-III,20.0,22.492026,88.518792,22.492026,88.518792,
NORTH 24 PARGANAS,1,M - 1,38.9,22.59255,88.4133694,"22°35'33.18""N","88°24'48.13""E",
NORTH 24 PARGANAS,2,M - 2,29.45,22.5911139,88.4204722,"22°35'28.01""N","88°25'13.70""E",
NORTH 24 PARGANAS,3,M - 3,38.9,22.5703528,88.41295,"22°34'13.27""N","88°24'46.62""E",
NORTH 24 PARGANAS,4,M - 5,38.9,22.5749222,88.4343389,"22°34'29.72""N","88°26'3.62""E",
NORTH 24 PARGANAS,5,Mahisbathan,30.0,22.5755806,88.43465,"22°34'32.09""N","88°26'4.74""E",
NORTH 24 PARGANAS,6,NTAA - 1A,14.3,22.5840444,88.4482194,"22°35'2.56""N","88°26'53.59""E",
NORTH 24 PARGANAS,7,NTAA - 1D,20.0,22.5788972,22.5788972,"22°34'44.03""N","22°34'44.03""N",lon_hemi_label_swapped;lon_duplicate_of_latitude;outside_wb_bbox
NORTH 24 PARGANAS,8,NTAA - 1C,20.0,22.5781861,88.460925,"22°34'41.47""N","88°27'39.33""E",
NORTH 24 PARGANAS,9,NTAA - 1B,23.15,22.5823417,88.4616833,"22°34'56.43""N","88°27'42.06""E",
NORTH 24 PARGANAS,10,NTAA - 1DBPS,6.3,22.5784778,88.4842389,"22°34'42.52""N","88°29'3.26""E",
NORTH 24 PARGANAS,11,S/Lake Housing Complex,20.0,22.5810667,88.4970667,"22°34'51.84""N","88°29'49.44""E",
NORTH 24 PARGANAS,12,B-Switching,6.3,22.5919444,88.4061111,"22°35'31""N","88°24'22""E",
NORTH 24 PARGANAS,13,H-Switching,10.0,22.5836111,88.4161111,"22°35'01""N","88°24'58""E",
NORTH 24 PARGANAS,14,A-13,10.0,22.595,88.4005556,"22°35'42""N","88°24'02""E",
NORTH 24 PARGANAS,15,Bagjola,30.0,22.6038583,88.4213917,"22°36'13.89""N","88°25'17.01""E",
NORTH 24 PARGANAS,16,Bhangar,35.6,22.498425,88.5952444,"22°29'54.33""N","88°35'42.88""E",
NORTH 24 PARGANAS,17,Bisherpara,20.0,22.669225,88.4374278,"22°40'9.21""N","88°26'14.74""E",
NORTH 24 PARGANAS,18,Chandiberia,30.0,22.5971806,88.4393444,"22°35'49.85""N","88°26'21.64""E",
NORTH 24 PARGANAS,19,Mandalgathi,26.3,22.6288,88.4327,"22°37'43.68""N","88°25'57.72""E",
NORTH 24 PARGANAS,20,Minakhan,18.9,22.51185,88.714725,"22°30'42.66""N","88°42'53.01""E",
NORTH 24 PARGANAS,21,Narayanpur,25.2,22.641025,88.4660167,"22°38'27.69""N","88°27'57.66""E",
NORTH 24 PARGANAS,22,Rajarhat,16.3,22.5782917,88.5318028,"22°34'41.85""N","88°31'54.49""E",
NORTH 24 PARGANAS,23,Bengal Unitech / NTAA - 3B,20.0,22.562275,88.48925,"22°33'44.19""N","88°29'21.30""E",
NORTH 24 PARGANAS,24,Sukhobristi /NTAA - 3E,20.0,22.566685,88.514683,22.566685,88.514683,
NORTH 24 PARGANAS,25,Siddha Pyne,20.0,22.635362,88.460226,22.635362,88.460226,
NORTH 24 PARGANAS,26,NTAA - 2B,12.6,22.6113111,88.4729833,"22°36'40.72""N","88°28'22.74""E",
NORTH 24 PARGANAS,27,NTAA - 2C,12.6,22.6261278,88.4653667,"22°37'34.06""N","88°27'55.32""E",
NORTH 24 PARGANAS,28,NTAA - 2D,12.6,22.6274972,88.4598611,"22°37'38.99""N","88°27'35.50""E",
NORTH 24 PARGANAS,29,NTAA - 2E,20.0,22.6194806,88.454275,"22°37'10.13""N","88°27'15.39""E",
NORTH 24 PARGANAS,30,NTAA - 2A,12.6,22.6017083,88.4780556,"22°36'6.15""N","88°28'41.00""E",
NORTH 24 PARGANAS,31,NTAA - 2G,12.6,22.5812556,88.4921361,"22°34'52.52""N","88°29'31.69""E",
NORTH 24 PARGANAS,32,CBD,12.6,22.5917278,88.4793139,"22°35'30.22""N","88°28'45.53""E",
NORTH 24 PARGANAS,33,GHUNI,12.6,22.58813,88.458895,22.58813,88.458895,
NORTH 24 PARGANAS,34,DLF,6.3,22.56716,88.517,22.56716,88.517,
NORTH 24 PARGANAS,35,Old Calcutta,29.9,22.7477,88.3819,N22.7477°,E88.3819°,
NORTH 24 PARGANAS,36,Barrackpur,16.3,22.8396,88.3862,N22.8396°,E88.3862°,
NORTH 24 PARGANAS,37,Belghoria,22.6,22.666,88.3994,N22.666°,E88.3994°,
NORTH 24 PARGANAS,38,Ghola - Sodpur,18.9,22.6974,88.4096,N22.6974°,E88.4096°,
NORTH 24 PARGANAS,39,Mohanpur ( KMDA ),12.6,22.7708,88.3909,N22.7708°,E88.3909°,
NORTH 24 PARGANAS,40,Rahara (Dangapara),16.3,22.73202,88.38569,N22.73202°,E88.38569°,
NORTH 24 PARGANAS,41,Sajirhat,26.3,22.7007694,88.4358694,"22°42'2.77""N","88°26'9.13""E",
NORTH 24 PARGANAS,42,Mohanpur (Barrackpore) GIS,12.6,21.8300521,87.3603214,21.83005209,87.36032141,
NORTH 24 PARGANAS,43,Abdalpur,36.3,22.6937,88.4843,N22.6937°,E88.4843°,
NORTH 24 PARGANAS,44,Amdanga,12.6,22.8563,88.5352,N22.8563°,E88.5352°,
NORTH 24 PARGANAS,45,Anantapur,16.3,22.7775,88.4933,N22.7775°,E88.4933°,
NORTH 24 PARGANAS,46,Berachampa,18.9,22.6988,88.6886,N22.6988°,E88.6886°,
NORTH 24 PARGANAS,47,Bira - Joypul,19.45,22.7833,88.5786,N22.7833°,E88.5786°,
NORTH 24 PARGANAS,48,Jeerat,17.6,22.8565,88.5352,N22.8565°,E88.5352°,
NORTH 24 PARGANAS,49,New Barasat,55.2,22.7195,88.4883,N22.7195°,E88.4883°,
NORTH 24 PARGANAS,50,Nilganj,12.6,22.7492,88.4349,N22.7492°,E88.4349°,
NORTH 24 PARGANAS,51,Regent Garment Park,6.3,22.73462,88.46432,N22.73462°,E88.46432°,
NORTH 24 PARGANAS,52,Bagda ( Helencha ),15.75,23.1839,88.8555,N23.1839°,E88.8555°,
NORTH 24 PARGANAS,53,Bongaon,25.2,23.0486,88.8199,N23.0486°,E88.8199°,
NORTH 24 PARGANAS,54,Chandpara,12.6,22.9787,88.7824,N22.9787°,E88.7824°,
NORTH 24 PARGANAS,55,Meherani,6.15,23.191102,88.949048,N-23.191102,E88.949048,
NORTH 24 PARGANAS,56,Gaighata / Jaleswar,18.9,22.9192,88.7198,N22.9192°,E88.7198°,
NORTH 24 PARGANAS,57,Gobardanga,17.6,22.8598,88.771,N22.8598°,E88.771°,
NORTH 24 PARGANAS,58,Banipur,16.3,22.82308,88.64438,N22.82308°,E88.64438°,
NORTH 24 PARGANAS,59,Habra,27.05,22.8285,88.6284,N22.8285°,E88.6284°,
NORTH 24 PARGANAS,60,Banbania,12.6,22.8383333,88.6533333,N22°50'18,E88°39'12,
NORTH 24 PARGANAS,61,Kalyani Spinning Mill,11.3,22.82821,88.82656,N22.82821,E88.82656°,
NORTH 24 PARGANAS,62,Chord Road,32.6,22.8396,88.3861,N22.8396°,E88.3861°,
NORTH 24 PARGANAS,63,Goalaphatak,22.6,22.8963,88.4264,N22.8963°,E88.4264°,
NORTH 24 PARGANAS,64,Gouripur,14.45,22.899,88.4108,N22.899°,E88.4108°,
NORTH 24 PARGANAS,65,Halisahar,17.6,22.948,88.4198,N22.948°,E88.4198°,
NORTH 24 PARGANAS,66,Kanchrapara,30.0,22.9312,88.454,N22.9312°,E88.454°,
NORTH 24 PARGANAS,67,Naihati Jute Mill,8.15,22.9129,88.4041,N22.9129°,E88.4041°,
NORTH 24 PARGANAS,68,Panpur,22.6,22.8619,88.43,N22.8619°,E88.43°,
NORTH 24 PARGANAS,69,Arbelia,22.6,22.6908,88.7627,N22.6908°,E88.7627°,
NORTH 24 PARGANAS,70,Basirhat,18.9,22.6782,88.83705,N22.6782°,E88.83705°,
NORTH 24 PARGANAS,71,Haroa,12.6,22.66105,88.68233,N22.661050°,E88.68233°,
NORTH 24 PARGANAS,72,Hasnabad,12.6,22.5804,88.912,N22.5804°,E88.912°,
NORTH 24 PARGANAS,73,Hingalganj,10.0,22.4578,88.9867,N22.4578°,E88.9867°,
NORTH 24 PARGANAS,74,Serapole,16.3,22.8355,88.8671,N22.8355°,E88.8671°,
NORTH 24 PARGANAS,75,Nazat,11.3,22.3217,88.8359,N22.3217°,E88.8359°,
NORTH 24 PARGANAS,76,SARBERIA,6.3,22.3769211,88.8066101,22.3769211,88.8066101,
NORTH 24 PARGANAS,77,JELIAKHALI,6.3,22.3489,88.8209,22.3489,88.8209,
NORTH 24 PARGANAS,78,Bhaduria,9.45,22.7761,88.752,22.7761,88.752,
HOWRAH,1,Baganda,12.6,22.35472,88.06745,N22.35472,E88.06745,
HOWRAH,2,Bagnan,22.6,22.46703,87.95885,N-22.46703',E-087.95885',
HOWRAH,3,Banitabla,18.9,22.47691,88.09088,N-22.47691',E-088.09088,
HOWRAH,4,Foodpark-I,30.0,22.57089,88.17658,N-22.57089',E-088.17658',
HOWRAH,5,Kalyanpur,12.6,22.508237,87.90493,N-22.508237',E-87.90493',
HOWRAH,6,Mugkalyan,12.6,22.41582,87.97863,N-22.41582,E-087.97863,
HOWRAH,7,Polypark / Foodpark-II,30.0,22.57106,88.1754,N-22.57106',E-088.17540',
HOWRAH,8,Ranihati / Nabaghara,18.9,22.56326,88.15949,N-22.56326',E-088.15949',
HOWRAH,9,Shyampur,22.6,22.3219917,87.9614,"22°19'19.17""N","87°57'41.04""E",
HOWRAH,10,UIGC,27.6,22.4775,88.04256,N-22.47750,E88.04256,
HOWRAH,11,BAROGRAM,12.6,22.515888,88.064736,N-22.515888',E-88.064736',
HOWRAH,12,ISLAMPUR,12.6,22.569378,88.07487,N-22.569378',E-88.074870',
HOWRAH,13,Foundry Park,16.3,22.568407,88.106283,N-22.568407',E-88.106283',
HOWRAH,14,Alampur,22.6,22.58994,88.21694,"N-22.58994 ,",E 88.21694,
HOWRAH,15,Baltikuri,35.2,22.61007,88.30422,N22.61007,E-088.30422,
HOWRAH,16,Kona,35.2,22.63637,88.30185,N22.63637,E088.30185,
HOWRAH,17,Kona Truck Terminal,26.3,22.5946833,88.2670361,"22°35'40.86""N","88°16'1.33""E",
HOWRAH,18,TENTULKULI/LAKSHMANPUR,12.6,22.62575,88.2747778,22037'32.7,88016'29.2,compacted_dms
HOWRAH,19,Liluah,22.6,22.6262,88.32732,N22.62620,E088.32732,
HOWRAH,20,Jangalpur - I,28.9,22.59584,88.21919,N22.59584,E88.21919,
HOWRAH,21,Jangalpur - II,20.0,22.5933333,88.2036111,"22°35'36.00""N","88°12'13.00""E",
HOWRAH,22,Makardah,23.9,22.60622,88.24494,N22.60622,E088.24494,
HOWRAH,23,Munsirhat,25.2,22.65672,88.08643,N22.65672,E088.08643,
HOWRAH,24,Amta / Kalitala,22.05,22.5717,88.0148,22.5717,88.0148,
HOWRAH,25,Sehaguri,12.6,22.59072,87.96715,N22.59072,E087.96715,
HOWRAH,26,Singti / Udaynarayanpur,12.6,22.68884,87.97409,N22.68884,E087.97409,
HOWRAH,27,Gumadangi,11.3,22.64002,88.075433,22.64002,88.075433,
HOWRAH,28,SRIJON LOGISTIC,20.0,22.601403,88.23164,22.601403,88.23164,
HOOGHLY,1,Sheoraphully,22.6,22.7849333,88.3177667,N22°47.096',E88°19.066',
HOOGHLY,2,Raghunathpur,22.6,22.67305,88.3229667,N22°40.383',E88°19.378',
HOOGHLY,3,Dankuni Coal Complex,12.6,22.7120333,88.2797833,N22°42.722',E88°16.787',
HOOGHLY,4,Mother Dairy,10.0,22.683263,88.305107,22.683263N,88.305107E,
HOOGHLY,5,Kalachhara,12.6,22.706565,88.235857,22.706565N,88.235857E,
HOOGHLY,6,Singur,27.6,22.8130667,88.23765,N22°48.784',E88°14.259',
HOOGHLY,7,Kaikala,18.9,22.8390667,88.2151667,N22°50.344',E88°12.910',
HOOGHLY,8,Arambagh / Chandur,28.9,22.9057,87.7729167,N22°54.342',E87°46.375',
HOOGHLY,9,Kamarpukur / Tarui,28.9,22.91875,87.6724167,N22°55.125',E87°40.345',
HOOGHLY,10,Goghat/Lakshmipur,6.3,22.833419,89.766785,N22.833419,E89.766785,
HOOGHLY,11,Champadanga,17.6,22.8409333,87.9757833,N22°50.456',E87°58.547',
HOOGHLY,12,Dihibatpur,12.6,22.8944167,87.9427,N22°53.665',E87°56.562',
HOOGHLY,13,Gourhati,11.3,22.7688,87.8009,N22°46.128',E87°48.054',
HOOGHLY,14,Khanakul,17.6,22.7113667,87.8463333,N22°42.682',E87°50.780',
